Year,Month,ProductCategory,Sales(In ThousandDollars),WeatherEvent,Monthly Nominal GDP Index (inMillion$),No.of Holidays
2009,1,WomenClothing,1755,10,14421.753,2
2009,1,MenClothing,524,10,14421.753,2
2009,1,OtherClothing,936,10,14421.753,2
2009,2,WomenClothing,1729,6,14389.2,2
2009,2,MenClothing,496,6,14389.2,2
2009,2,OtherClothing,859,6,14389.2,2
2009,3,WomenClothing,2256,10,14340.702,0
2009,3,MenClothing,542,10,14340.702,0
2009,3,OtherClothing,921,10,14340.702,0
2009,4,WomenClothing,2662,12,14326.816,1
2009,4,MenClothing,669,12,14326.816,1
2009,4,OtherClothing,914,12,14326.816,1
2009,5,WomenClothing,2732,14,14345.905,2
2009,5,MenClothing,650,14,14345.905,2
2009,5,OtherClothing,989,14,14345.905,2
2009,6,WomenClothing,2220,20,14348.531,1
2009,6,MenClothing,607,20,14348.531,1
2009,6,OtherClothing,932,20,14348.531,1
2009,7,WomenClothing,2164,13,14317.373,2
2009,7,MenClothing,575,13,14317.373,2
2009,7,OtherClothing,901,13,14317.373,2
2009,8,WomenClothing,2371,13,14424.285,0
2009,8,MenClothing,551,13,14424.285,0
2009,8,OtherClothing,865,13,14424.285,0
2009,9,WomenClothing,2421,7,14410.777,1
2009,9,MenClothing,579,7,14410.777,1
2009,9,OtherClothing,819,7,14410.777,1
2009,10,WomenClothing,2579,14,14596.605,2
2009,10,MenClothing,610,14,14596.605,2
2009,10,OtherClothing,914,14,14596.605,2
2009,11,WomenClothing,2521,10,14590.432,2
2009,11,MenClothing,620,10,14590.432,2
2009,11,OtherClothing,955,10,14590.432,2
2009,12,WomenClothing,3390,11,14512.495,3
2009,12,MenClothing,930,11,14512.495,3
2009,12,OtherClothing,1351,11,14512.495,3
2010,1,WomenClothing,2142,11,14613.991,2
2010,1,MenClothing,476,11,14613.991,2
2010,1,OtherClothing,945,11,14613.991,2
2010,2,WomenClothing,2413,13,14652.88,2
2010,2,MenClothing,471,13,14652.88,2
2010,2,OtherClothing,869,13,14652.88,2
2010,3,WomenClothing,3102,14,14776.317,0
2010,3,MenClothing,568,14,14776.317,0
2010,3,OtherClothing,941,14,14776.317,0
2010,4,WomenClothing,3294,7,14844.531,1
2010,4,MenClothing,630,7,14844.531,1
2010,4,OtherClothing,1108,7,14844.531,1
2010,5,WomenClothing,3221,9,14875.698,2
2010,5,MenClothing,627,9,14875.698,2
2010,5,OtherClothing,991,9,14875.698,2
2010,6,WomenClothing,2756,10,14945.57,1
2010,6,MenClothing,598,10,14945.57,1
2010,6,OtherClothing,984,10,14945.57,1
2010,7,WomenClothing,2749,10,15019.235,2
2010,7,MenClothing,544,10,15019.235,2
2010,7,OtherClothing,937,10,15019.235,2
2010,8,WomenClothing,2807,8,15036.278,0
2010,8,MenClothing,674,8,15036.278,0
2010,8,OtherClothing,897,8,15036.278,0
2010,9,WomenClothing,2919,8,15117.467,1
2010,9,MenClothing,563,8,15117.467,1
2010,9,OtherClothing,839,8,15117.467,1
2010,10,WomenClothing,3071,10,15219.059,2
2010,10,MenClothing,634,10,15219.059,2
2010,10,OtherClothing,930,10,15219.059,2
2010,11,WomenClothing,3276,8,15185.629,2
2010,11,MenClothing,669,8,15185.629,2
2010,11,OtherClothing,1035,8,15185.629,2
2010,12,WomenClothing,4360,6,15285.936,5
2010,12,MenClothing,988,6,15285.936,5
2010,12,OtherClothing,1398,6,15285.936,5
2011,1,WomenClothing,2193,14,15149.136,2
2011,1,MenClothing,487,14,15149.136,2
2011,1,OtherClothing,968,14,15149.136,2
2011,2,WomenClothing,2620,9,15161.578,2
2011,2,MenClothing,497,9,15161.578,2
2011,2,OtherClothing,878,9,15161.578,2
2011,3,WomenClothing,3266,11,15404.399,0
2011,3,MenClothing,599,11,15404.399,0
2011,3,OtherClothing,1064,11,15404.399,0
2011,4,WomenClothing,3414,14,15488.005,1
2011,4,MenClothing,690,14,15488.005,1
2011,4,OtherClothing,985,14,15488.005,1
2011,5,WomenClothing,3340,11,15472.391,2
2011,5,MenClothing,677,11,15472.391,2
2011,5,OtherClothing,1027,11,15472.391,2
2011,6,WomenClothing,3232,9,15422.382,1
2011,6,MenClothing,674,9,15422.382,1
2011,6,OtherClothing,1108,9,15422.382,1
2011,7,WomenClothing,2896,9,15547.854,1
2011,7,MenClothing,587,9,15547.854,1
2011,7,OtherClothing,985,9,15547.854,1
2011,8,WomenClothing,3245,13,15649.038,0
2011,8,MenClothing,549,13,15649.038,0
2011,8,OtherClothing,1001,13,15649.038,0
2011,9,WomenClothing,3182,11,15564.482,1
2011,9,MenClothing,643,11,15564.482,1
2011,9,OtherClothing,930,11,15564.482,1
